Abaca, n., The Manila-hemp plant (Musa textilis); also
Death, v. i., The cessation of all vital phenomena without capability of resuscitation
Death, v. i., Total privation or loss; extinction; cessation; as
Death, v. i., Manner of dying; act or state of passing from life.
Death, v. i., Cause of loss of life.
Death, v. i., Personified: The destroyer of life
Death, v. i., Danger of death.
Death, v. i., Murder; murderous character.
Death, v. i., Loss of spiritual life.
Death, v. i., Anything so dreadful as to be like death.
Deave, v. t., To stun or stupefy with noise; to deafen.
Debar, v. t., To cut off from entrance
Debel, v. t., To conquer.
Debit, n., A debt; an entry on the debtor (Dr.) side of an account; -- mostly used adjectively; as
Debit, v. t., To charge with debt; -- the opposite of
Debit, v. t., To enter on the debtor (Dr.) side of an account; as
Debut, n., A beginning or first attempt; hence
Deca-, , A prefix
Decad, n., A decade.
Decay, v. i., To pass gradually from a sound
Decay, v. t., To cause to decay; to impair.
Decay, v. t., To destroy.
Decay, n., Gradual failure of health
Decay, n., Destruction; death.
Decay, n., Cause of decay.
Decil, n., Alt. of Decile
Decoy, v. t., To lead into danger by artifice; to lure into a net or snare; to entrap; to insnare; to allure; to entice; as
Decoy, n., Anything intended to lead into a snare; a lure that deceives and misleads into danger
Decoy, n., A fowl
Decoy, n., A place into which wild fowl
Decoy, n., A person employed by officers of justice
Decry, v. t., To cry down; to censure as faulty
Decyl, n., A hydrocarbon radical
Deedy, a., Industrious; active.
Deess, n., A goddess.
Defer, v. t., To put off; to postpone to a future time; to delay the execution of; to delay; to withhold.
Defer, v. i., To put off; to delay to act; to wait.
Defer, v. t., To render or offer.
Defer, v. t., To lay before; to submit in a respectful manner; to refer; -- with to.
Defer, v. i., To yield deference to the wishes of another; to submit to the opinion of another
Defix, v. t., To fix; to fasten; to establish.
Defly, adv., Deftly.
Deify, v. t., To make a god of; to exalt to the rank of a deity; to enroll among the deities; to apotheosize; as
Deify, v. t., To praise or revere as a deity; to treat as an object of supreme regard; as
Deify, v. t., To render godlike.
Deign, v. t., To esteem worthy; to consider worth notice; -- opposed to disdain.
Deign, v. t., To condescend to give or bestow; to stoop to furnish; to vouchsafe; to allow; to grant.
Deign, v. i., To think worthy; to vouchsafe; to condescend; - - followed by an infinitive.
Deism, n., The doctrine or creed of a deist; the belief or system of those who acknowledge the existence of one God
Deist, n., One who believes in the existence of a God
Deity, n., The collection of attributes which make up the nature of a god; divinity; godhead; as
Deity, n., A god or goddess; a heathen god.
Deka-, , A prefix signifying ten. See Deca-.
Dekle, n., See Deckle.
Delay, v., A putting off or deferring; procrastination; lingering inactivity; stop; detention; hindrance.
Delay, n., To put off; to defer; to procrastinate; to prolong the time of or before.
Delay, n., To retard; to stop
Delay, n., To allay; to temper.
Delay, v. i., To move slowly; to stop for a time; to linger; to tarry.
Deled, imp. & p. p., of Dele
Delft, n., Same as Delftware.
Delit, n., Delight.
Deloo, n., The duykerbok.
Delph, n., Delftware.
Delph, n., The drain on the land side of a sea embankment.
Delta, n., A tract of land shaped like the letter delta (/)
Delve, v. t., To dig; to open (the ground) as with a spade.
Delve, v. t., To dig into; to penetrate; to trace out; to fathom.
Delve, v. i., To dig or labor with a spade
Delve, v. t., A place dug; a pit; a ditch; a den; a cave.
Demi-, , A prefix
Demit, v. t., To let fall; to depress.
Demit, v. t., To yield or submit; to humble; to lower; as
Demit, v. t., To lay down
Demon, n., A spirit
Demon, n., One's genius; a tutelary spirit or internal voice; as
Demon, n., An evil spirit; a devil.
Demur, v. i., To linger; to stay; to tarry.
Demur, v. i., To delay; to pause; to suspend proceedings or judgment in view of a doubt or difficulty; to hesitate; to put off the determination or conclusion of an affair.
Demur, v. i., To scruple or object; to take exception; as
Demur, v. i., To interpose a demurrer. See Demurrer
Demur, v. t., To suspend judgment concerning; to doubt of or hesitate about.
Demur, v. t., To cause delay to; to put off.
Demur, v. i., Stop; pause; hesitation as to proceeding; suspense of decision or action; scruple.
Denay, v. t., To deny.
Denay, n., Denial; refusal.
Denim, n., A coarse cotton drilling used for overalls
Dense, a., Having the constituent parts massed or crowded together; close; compact; thick; containing much matter in a small space; heavy; opaque; as
Dense, a., Stupid; gross; crass; as
Depot, n., A place of deposit for the storing of goods; a warehouse; a storehouse.
Depot, n., A military station where stores and provisions are kept
Depot, n., The headquarters of a regiment
Depot, n., A railway station; a building for the accommodation and protection of railway passengers or freight.
Depth, n., The quality of being deep; deepness; perpendicular measurement downward from the surface
Depth, n., Profoundness; extent or degree of intensity; abundance; completeness; as
Depth, n., Lowness; as
Depth, n., That which is deep; a deep
Depth, n., The number of simple elements which an abstract conception or notion includes; the comprehension or content.
Depth, n., A pair of toothed wheels which work together.
Deray, n., Disorder; merriment.
Derby, n., A race for three-old horses
Derby, n., A stiff felt hat with a dome-shaped crown.
-derm, n., A suffix or terminal formative
Derma, n., See Dermis.
Derne, a., To hide; to skulk.
Derre, a., Dearer.
Derth, n., Dearth; scarcity.
Deter, v. t., To prevent by fear; hence
Dette, n., Debt.
Detur, n., A present of books given to a meritorious undergraduate student as a prize.
Deuce, n., Two; a card or a die with two spots; as
Deuce, n., A condition of the score beginning whenever each side has won three strokes in the same game (also reckoned '40 all')
Deuce, n., The devil; a demon.
Deuse, a., Alt. of Deused
Deut-, , A prefix which formerly properly indicated the second in a regular series of compound in the series
Devex, a., Bending down; sloping.
Devex, n., Devexity.
Devil, n., The Evil One; Satan
Devil, n., An evil spirit; a demon.
Devil, n., A very wicked person; hence
Devil, n., An expletive of surprise
Devil, n., A dish
Devil, n., A machine for tearing or cutting rags
Devil, v. t., To make like a devil; to invest with the character of a devil.
Devil, v. t., To grill with Cayenne pepper; to season highly in cooking
Devon, n., One of a breed of hardy cattle originating in the country of Devon
Devow, v. t., To give up; to devote.
Devow, v. t., To disavow; to disclaim.
Dewed, imp. & p. p., of Dew
Dhole, n., A fierce
Dhony, n., A Ceylonese boat. See Doni.
Diana, n., The daughter of Jupiter and Latona; a virgin goddess who presided over hunting
Diary, n., A register of daily events or transactions; a daily record; a journal; a blank book dated for the record of daily memoranda; as
Diary, a., lasting for one day; as
Diced, imp. & p. p., of Dice
Dicer, n., A player at dice; a dice player; a gamester.
Dicky, n., A seat behind a carriage
Dicky, n., A false shirt front or bosom.
Dicky, n., A gentleman's shirt collar.
Dicta, n. pl., See Dictum.
Dicta, pl., of Dictum
Didal, n., A kind of triangular spade.
Didos, pl., of Dido
Didst, , the 2d pers. sing. imp. of Do.
Didym, n., See Didymium.
Dying, p. pr. & vb. n., of Die
Dight, imp. & p. p., of Dight
Dight, v. t., To prepare; to put in order; hence
Dight, v. t., To have sexual intercourse with.
Digit, n., One of the terminal divisions of a limb appendage; a finger or toe.
Digit, n., A finger's breadth
Digit, n., One of the ten figures or symbols
Digit, n., One twelfth part of the diameter of the sun or moon; -- a term used to express the quantity of an eclipse; as
Digit, v. t., To point at or out with the finger.
Digne, a., Worthy; honorable; deserving.
Digne, a., Suitable; adequate; fit.
Digne, a., Haughty; disdainful.
Digue, n., A bank; a dike.
Diked, imp. & p. p., of Dike
Diker, n., A ditcher.
Diker, n., One who builds stone walls; usually
Dildo, n., A burden in popular songs.
Dildo, n., A columnar cactaceous plant of the West Indies (Cereus Swartzii).
Dilly, n., A kind of stagecoach.
Dimit, v. t., To dismiss
Dimly, adv., In a dim or obscure manner; not brightly or clearly; with imperfect sight.
Dimmy, a., Somewhat dim; as
Dimya, n. pl., Alt. of Dimyaria
Dinar, n., A petty money of accounts of Persia.
Dinar, n., An ancient gold coin of the East.
Dined, imp. & p. p., of Dine
Diner, n., One who dines.
Dingy, n., Alt. of Dinghy
Dingo, n., A wild dog found in Australia
Dingy, superl., Soiled; sullied; of a dark or dusky color; dark brown; dirty.
Diota, n., A vase or drinking cup having two handles or ears.
Dirge, a., A piece of music of a mournful character
Dirty, superl., Defiled with dirt; foul; nasty; filthy; not clean or pure; serving to defile; as
Dirty, superl., Sullied; clouded; -- applied to color.
Dirty, superl., Sordid; base; groveling; as
Dirty, superl., Sleety; gusty; stormy; as
Dirty, v. t., To foul; to make filthy; to soil; as
Dirty, v. t., To tarnish; to sully; to scandalize; -- said of reputation
Disci, pl., of Discus
Disme, n., A tenth; a tenth part; a tithe.
Ditch, n., A trench made in the earth by digging
Ditch, n., Any long
Ditch, v. t., To dig a ditch or ditches in; to drain by a ditch or ditches; as
Ditch, v. t., To surround with a ditch.
Ditch, v. t., To throw into a ditch; as
Ditch, v. i., To dig a ditch or ditches.
Ditto, n., The aforesaid thing; the same (as before). Often contracted to do.
Ditto, adv., As before
Ditty, v. t., A saying or utterance; especially
Ditty, v. t., A song; a lay; a little poem intended to be sung.
Ditty, v. i., To sing; to warble a little tune.
Divan, n., A book; esp.
Divan, n., In Turkey and other Oriental countries: A council of state; a royal court. Also used by the poets for a grand deliberative council or assembly.
Divan, n., A chief officer of state.
Divan, n., A saloon or hall where a council is held
Divan, n., A cushioned seat
Divan, n., A coffee and smoking saloon.
Dived, imp. & p. p., of Dive
Divel, v. t., To rend apart.
Diver, n., One who
Diver, n., Fig.: One who goes deeply into a subject
Diver, n., Any bird of certain genera
Dives, n., The name popularly given to the rich man in our Lord's parable of the 'Rich Man and Lazarus' (Luke xvi. 19-31). Hence
Divet, n., See Divot.
Divot, n., A thin
Dixie, n., A colloquial name for the Southern portion of the United States
Dizen, v. t., To dress; to attire.
Dizen, v. t., To dress gaudily; to overdress; to bedizen; to deck out.
Dizzy, superl., Having in the head a sensation of whirling
Dizzy, superl., Causing
Dizzy, superl., Without distinct thought; unreflecting; thoughtless; heedless.
Dizzy, v. t., To make dizzy or giddy; to give the vertigo to; to confuse.
Jjinn, pl., of Djinnee
Doing, p. pr. & vb. n., of Do
